gene,HSC_BC001_1plex,HSC_BC001_4plex,HSC_BC003_1,HSC_BC003_4plex,HSC_BC014_1
AAAS,0.123670496,-0.048882052,,,-0.0012068361
AACS,,0.11206883,,-0.017466959,
AASS,,,,,-0.10682263
ABCA1,,0.055190224,0.021131696,,0.042255744
ABCA3,-0.009618218,-0.017783092,0.002612505,0.08254591,-0.019032666
ABCA7,,,-0.014827833,,
ABCB1,,0.0076601207,0.040260177,-0.45990378,
ABCB10,,,,,-0.055216316
ABCB6,-0.04259008,0.06507176,-0.009734249,-0.07744534,-0.0026351393
ABCC1,,,,0.015409557,-0.01783081
ABCC3,0.004128509,-0.0015989976,-5.5593955e-05,0.006594257,0.0017607498
ABCC4,-0.05068445,0.022687221,0.010546033,-0.09196625,0.07155809
ABCC5,-0.045338836,-0.070212126,0.033110436,-0.15524794,0.01950709
ABCG1,,,,,
ABHD11,0.092147544,,0.0029046535,0.020138286,
ABHD14A,,,,,0.028888214
ABHD16A,-0.0020711168,0.047239166,0.008187178,0.06294585,
ABHD17B,,,,,-0.05960879
ABHD4,-0.19019017,-0.0037409496,0.012619165,0.028874682,-0.025756514
ABI2,0.12281915,-0.07678823,-0.02539021,-0.0046902252,0.054954436
ABI3,,0.007552758,-0.0028873428,-0.0015579972,0.0023764856
ABL1,,,,,
ABLIM1,,-0.040537026,-0.0565656,0.20694518,-0.029220203
ABLIM3,-0.00016387145,-0.0038111464,-0.00015717385,0.001036344,0.000193102
ABRACL,-0.16162536,0.027452946,,,
ACAA1,,,,,
ACAD8,0.046520036,,0.011022726,0.07894433,
ACADM,-0.0014248166,0.05761304,-0.012282061,0.0598228,-0.0021736117
ACAP1,,,,0.20047711,
ACAT1,0.04385139,0.014484989,,,0.010429485
ACAT2,0.09513312,0.013184039,0.010200588,-0.037107673,0.030384086
ACCS,,,-0.0046087825,,
ACD,0.07957147,0.053341504,,,
ACOT7,0.080682136,5.2502874e-05,0.016117398,0.14277926,0.1193606
ACP2,,0.08574667,,,
ACP3,-0.0048448867,,,,
ACP5,,0.036542945,-0.0028848853,,-0.002542044
ACP6,,0.07755432,,,-0.08217168
ACSL1,0.19668138,,-0.0055986275,,0.03382433
ACSL3,,,,,
ACSL5,0.20673496,0.0101999,-0.012977145,,0.010748154
ACSM3,-0.27366444,0.0015469247,-0.0067031183,-0.21874465,0.022741547
ACSS1,,0.050842162,,,-0.01751176
ACTB,-0.11269385,0.043751426,0.0022733246,0.016647726,
ACTG1,,0.061596956,0.0089415535,0.11975566,
ACTL6A,-0.04534051,-0.01607517,-0.019849794,-0.028826889,
ACTN1,0.027635703,0.11893648,0.014301875,0.22287773,0.059173044
ACTN4,,,,-0.0013384477,
ACTR3,,,0.00709323,,
ACTR3B,,,,0.014132397,0.0027555756
ACVR1,,,-0.007848063,,
ACYP2,,,,,-0.049624253
ADA,,-0.02993478,0.03654013,0.2042341,-0.004753304
ADA2,0.11064749,,-0.020492401,,0.00705192
ADAM10,,,-0.00028393004,,
ADAM15,,,,,
ADAM19,0.5017069,-0.0067610014,-0.04214409,0.22401917,-0.014571255
ADAM28,,,,,
ADAM8,,,,,
ADAMTSL4,,,,,
ADAP1,0.10164426,,,,
ADAP2,0.0068524503,,-0.0015284291,,
ADAT1,,,,,0.009484495
ADAT2,,,-0.0036649364,-0.11931668,-0.016365763
ADCK5,,,-0.0082218265,,
ADCY3,,0.16290641,,0.03566207,0.0073210923
ADCY6,0.14479592,0.06264392,-0.0141705405,-0.12151095,-0.003321571
ADD3,,,-0.010930361,0.02378802,0.028172664
