gene,monocyte_BC001_1plex,monocyte_BC001_4plex,monocyte_BC002_1,monocyte_BC003_1,monocyte_BC003_4plex,monocyte_BC014_1
AAAS,-0.022364153,-0.031823568,,,,-0.039559726
AACS,,0.07040835,,,-0.10471568,
AASS,,,,,,-0.004386724
ABCA1,,0.024115702,-0.4525714,-0.021415256,,-0.06748824
ABCA3,-0.0040484667,-0.041686956,,-0.010935564,-0.027921066,0.0011499181
ABCA7,,,,0.021619145,,
ABCB1,,0.00015232796,,-0.0004544746,0.0045658667,
ABCB10,,,,,,-0.06539438
ABCB6,-0.0063304934,0.009859583,,-0.011485433,-0.021225328,-0.002905381
ABCC1,,,,,-0.03425875,-0.06780639
ABCC3,-0.08690671,-0.057452973,,-0.08533518,-0.06936559,-0.019004043
ABCC4,0.013346179,-0.02078995,-0.097825415,-0.08530718,-0.07917825,-0.015584372
ABCC5,-0.021424446,-0.04594463,-0.041891832,-0.036301553,-0.2495537,-0.025869774
ABCG1,,,-0.07923461,,,
ABHD11,0.14188854,,,0.019920511,-0.025659615,
ABHD14A,,,,,,-0.0038640709
ABHD16A,0.09695211,0.018011859,,0.013076141,0.005339003,
ABHD17B,,,,,,-0.0746339
ABHD4,0.0042010406,-0.047507837,,-0.01236817,-0.053082947,-0.0035936637
ABI2,-0.024046246,-0.06299696,,-0.03564738,-0.14744419,-0.0089646345
ABI3,,-0.05738249,-0.08959982,-0.06940369,-0.08729145,-0.011408953
ABL1,,,-0.113984615,,,
ABLIM1,,-0.00185458,-0.0007016902,-0.008517265,0.0035798778,-0.0019470608
ABLIM3,0.007931045,-0.020120788,-0.0026591283,-0.0027444286,-0.008316783,0.009526994
ABRACL,-0.025514081,0.049152277,-0.021364601,,,
ACAA1,,,0.17160845,,,
ACAD8,-0.035315886,,,-0.04411844,-0.09980279,
ACADM,0.054855414,0.024937008,-0.029476909,-0.031429425,-0.0048346748,0.010840364
ACAP1,,,-0.08656119,,0.059781026,
ACAT1,0.06166856,0.045918345,-0.122785285,,,-0.0007476401
ACAT2,0.045215018,0.04698611,,0.025490299,0.08377938,-0.012047528
ACCS,,,,-0.009952174,,
ACD,0.061091177,0.0036758408,,,,
