,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,ACTB,0,-0.502413798673278,-0.481343256286332,-0.523484341060223,0
2,ADA2,0,-0.827793768105578,-0.794336421690875,-0.86125111452028,0
3,ADGRE5,0,-1.01777460786852,-0.978220161942626,-1.05732905379442,0
4,ALDH1A1,0,-0.735938645172757,-0.703302501237751,-0.768574789107764,0
5,ANKRD22,0,-0.53036558159018,-0.507765672466382,-0.552965490713977,0
6,ANXA1,0,-1.17955934123881,-1.13676955701516,-1.22234912546246,0
7,APOL1,0,-0.636694668075953,-0.613434308368218,-0.659955027783688,0
8,ARL4C,0,1.97571252829281,2.02724199124513,1.92418306534049,0
9,ASAH1,0,0.664408075136571,0.693637929666994,0.635178220606148,0
10,B2M,0,-0.801192785555529,-0.783893193239849,-0.818492377871208,0
11,BTG1,0,1.24511487801904,1.28765032872298,1.2025794273151,0
12,CALHM6,0,-1.7943406145303,-1.75145304019782,-1.83722818886278,0
13,CD300LB,0,0.640015237871525,0.672386627868302,0.607643847874749,0
14,CD38,0,-0.915489687340233,-0.885929388039267,-0.945049986641199,0
15,CD40,0,-0.857671516069888,-0.828098781596722,-0.887244250543054,0
16,CD74,0,-1.24914280654449,-1.21639848678484,-1.28188712630413,0
17,CFH,0,-0.363050749427299,-0.345539582430176,-0.380561916424422,0
18,CLU,0,-1.26452642033342,-1.23177261147406,-1.29728022919279,0
19,CRIP1,0,-1.05245269016382,-1.00521093657591,-1.09969444375174,0
20,CTSA,0,-0.749306875819547,-0.715401916126693,-0.783211835512401,0
21,CYBA,0,-0.63374579790549,-0.609866341965328,-0.657625253845652,0
22,CYBB,0,-0.772129906627255,-0.737548454620497,-0.806711358634013,0
23,DYSF,0,-0.798187595741583,-0.762946799240508,-0.833428392242658,0
24,EEF2,0,0.819167539349546,0.84686098024104,0.791474098458051,0
25,EPSTI1,0,-0.854289895800079,-0.819388488620655,-0.889191302979502,0
26,FCER1G,0,-0.889604539852743,-0.863101473301123,-0.916107606404364,0
27,FCGR1A,0,-0.640948795191852,-0.614871049866018,-0.667026540517686,0
28,FGL2,0,-1.76329919508883,-1.71892302115916,-1.80767536901851,0
29,FXYD5,0,0.60917880923005,0.636100613127296,0.582257005332803,0
30,GAS6,0,-0.460622966786675,-0.43981492358854,-0.481431009984809,0
