,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
1,CD44,0,1.83542288151227,1.89557481501105,1.77527094801349,0
2,F13A1,0,1.95609545500599,2.02250637819506,1.88968453181692,0
3,KLF2,0,4.79727707224888,4.88199488849843,4.71255925599933,0
4,KLF6,0,2.646517234598,2.74468037797297,2.54835409122303,0
5,LAPTM4B,0,-2.40513458459113,-2.33230731398753,-2.47796185519472,0
6,TRBC2,0,-2.15916804580011,-2.08597683030549,-2.23235926129474,0
7,TSC22D3,4.94065645841247e-324,2.60627236720705,2.71719172306702,2.49535301134708,8.89812228160085e-321
8,SPINT2,5.63234836259021e-322,-1.8038121201522,-1.73600699184824,-1.87161724845615,8.87376484526088e-319
9,JUNB,2.31339796243179e-307,2.42992326786299,2.53999278584043,2.31985374988555,3.23978532427669e-304
10,MCL1,5.29312102490658e-294,2.05988112589077,2.15948192052728,1.96028033125425,6.67144973979225e-291
11,FOS,6.64844935268647e-277,3.27703165958328,3.42617486054929,3.12788845861727,7.61791414920548e-274
12,ADGRG6,1.17478425271776e-272,-1.51996883252976,-1.43994955164748,-1.59998811341205,1.23391506010456e-269
13,NRIP1,2.27159840925386e-266,-1.65372990900041,-1.571669674847,-1.73579014315382,2.2024020269412e-263
14,CRHBP,5.94325181506523e-261,-1.72795231034314,-1.64279989142835,-1.81310472925793,5.35062470550587e-258
15,LST1,5.60385535568424e-257,-1.66212001833132,-1.58836708876609,-1.73587294789655,4.70873286020295e-254
16,PRKG1,2.48369317853731e-255,-1.39749108751052,-1.32255329481531,-1.47242888020573,1.95652930139276e-252
17,MSI2,3.14942338929087e-255,-1.83155869044038,-1.74367130040824,-1.91944608047251,2.33501955286013e-252
18,SPINK2,2.60942383756253e-248,-1.79261944149198,-1.70718977713091,-1.87804910585306,1.82717655825768e-245
19,ALDH1A1,3.9823228489691e-241,-1.32914965780614,-1.25398887702817,-1.4043104385841,2.64174722044245e-238
20,ALDH2,7.10407809154956e-240,-1.39316335363212,-1.31825519157808,-1.46807151568616,4.47699001329454e-237
21,PCDH9,5.37060145269965e-230,-1.27302975927865,-1.19025142224022,-1.35580809631708,3.22338384332507e-227
22,NR4A2,4.12522233559898e-226,1.45572021692272,1.52531485554982,1.38612557829562,2.36337737808589e-223
23,EGR1,3.83146702101721e-223,3.51859170154027,3.68675559922269,3.35042780385785,2.09964392751743e-220
24,ADGRE5,1.82013981618876e-221,2.11977919348396,2.22726307777625,2.01229530919167,9.55876760135128e-219
25,MEIS1,8.60857436799336e-215,-1.49504925348668,-1.41331865469786,-1.5767798522755,4.34009885336753e-212
26,TSPOAP1,4.7247729857777e-206,1.8735916910027,1.96684040084357,1.78034298116184,2.2904245658747e-203
27,THSD7A,3.19056646915948e-202,1.00296025709057,1.06266727218722,0.943253241993913,1.48940369545504e-199
28,AIF1,1.23890322606426e-198,-1.19618946621843,-1.12524081071722,-1.26713812171963,5.57683437904071e-196
29,RHOB,6.04618238771141e-195,2.09208889672113,2.21430982107108,1.96986797237118,2.62779595912809e-192
30,IER2,9.97248721604008e-192,2.02467810599581,2.14185872447134,1.90749748752027,4.18977429569897e-189
31,IL1RAP,3.89107495193592e-189,1.45343986885183,1.53007426776718,1.37680546993649,1.58203576432904e-186
32,PBX1,2.11583617578939e-188,-1.0726575386168,-1.00009685439278,-1.14521822284081,8.33374973739046e-186
33,AVP,1.97824203742246e-183,-1.06260443069324,-0.977519310800523,-1.14768955058595,7.55568564838566e-181
34,VMP1,1.29817857311077e-180,1.53548457229738,1.62582524372158,1.44514390087318,4.81242433396712e-178
35,S100A10,2.87845496135601e-180,1.81707879323174,1.92713909002811,1.70701849643537,1.03657275236946e-177
36,MLLT3,1.5219833568136e-179,-1.41893943088914,-1.33163356465931,-1.50624529711896,5.32863284146629e-177
37,DOCK1,8.84924078013996e-177,-0.84038989791922,-0.77590424754378,-0.904875548294659,3.01448191332119e-174
38,ATF3,3.20470382771511e-175,1.62760095877189,1.72075472139041,1.53444719615338,1.06294965906635e-172
39,NABP1,3.63789027914971e-173,1.19513978242094,1.26250287171922,1.12777669312265,1.17569151483084e-170
40,TMSB4X,4.85933553219007e-171,1.01600660220175,1.08086109762824,0.951152106775258,1.53117662619309e-168
41,EIF1,1.15215333478322e-170,0.797056659349344,0.84750045416747,0.746612864531219,3.54188795892871e-168
42,ITM2C,6.34372655871875e-169,-1.31382738681498,-1.22896844030407,-1.39868633332588,1.90372213204979e-166
43,ZFP36,1.15736388204676e-164,1.6865968138775,1.79184746255796,1.58134616519704,3.39242194635288e-162
44,HEMGN,1.5542721867087e-164,-1.07418600711298,-0.998063691892222,-1.15030832233373,4.45228332756282e-162
45,BEX3,1.07047176031899e-163,-1.31498439318121,-1.2351229187864,-1.39484586757602,2.99827245934679e-161
46,ADGRG1,1.37743565193145e-163,-1.38929314081959,-1.30222760010759,-1.47635868153159,3.77417368629218e-161
47,HLF,7.92367062369663e-163,-0.931839235281636,-0.853148850496156,-1.01052962006712,2.12489243704409e-160
48,RGCC,4.66711154214393e-161,1.46552836472109,1.55510996330208,1.37594676614011,1.22550570577463e-158
49,FOSB,9.48730839484599e-159,2.37598696380629,2.53210639226181,2.21986753535077,2.44036806140079e-156
50,FNDC3B,1.04694112854463e-158,1.28761261773324,1.36825791033849,1.20696732512799,2.63912919683531e-156
51,PDK1,1.51376736281375e-158,1.14421904925327,1.21329475360154,1.075143344905,3.7410831060597e-156
52,SPARC,8.48254925189374e-158,1.36471286303596,1.45686328165128,1.27256244442063,2.05603943790132e-155
53,SELL,4.048327857835e-155,-1.28635341116376,-1.1983291168359,-1.37437770549162,9.62738194719855e-153
54,SH3BGRL3,1.07534539496913e-152,1.06792749507568,1.14523058758771,0.990624402563651,2.5099358070724e-150
55,BEX1,1.43765854382638e-152,-0.990645447557181,-0.906723553843383,-1.07456734127098,3.29459059752504e-150
56,SOX4,1.22514737160518e-151,-1.33031650865714,-1.24160224108802,-1.41903077622626,2.75745669137709e-149
57,RUNX1,4.3188002727645e-151,1.03083078778309,1.10472978004369,0.956931795522483,9.54985239261819e-149
58,MAGED1,8.7777251922793e-148,-1.21537805655923,-1.13620517950219,-1.29455093361626,1.90749048833601e-145
