hg38_ENSG00000223972.5	hg38_DDX11L1
hg38_ENSG00000227232.5	hg38_WASH7P
hg38_ENSG00000278267.1	hg38_MIR6859-1
hg38_ENSG00000243485.5	hg38_MIR1302-2HG
hg38_ENSG00000284332.1	hg38_MIR1302-2
hg38_ENSG00000237613.2	hg38_FAM138A
hg38_ENSG00000268020.3	hg38_OR4G4P
hg38_ENSG00000240361.1	hg38_OR4G11P
hg38_ENSG00000186092.4	hg38_OR4F5
hg38_ENSG00000238009.6	hg38_RP11-34P13.7
hg38_ENSG00000239945.1	hg38_RP11-34P13.8
hg38_ENSG00000233750.3	hg38_CICP27
hg38_ENSG00000268903.1	hg38_RP11-34P13.15
hg38_ENSG00000269981.1	hg38_RP11-34P13.16
hg38_ENSG00000239906.1	hg38_RP11-34P13.14
hg38_ENSG00000241860.6	hg38_RP11-34P13.13
hg38_ENSG00000222623.1	hg38_RNU6-1100P
hg38_ENSG00000241599.1	hg38_RP11-34P13.9
hg38_ENSG00000279928.2	hg38_ABC7-43046700E7.1
hg38_ENSG00000279457.4	hg38_RP11-34P13.18
hg38_ENSG00000273874.1	hg38_MIR6859-2
hg38_ENSG00000228463.9	hg38_AP006222.2
hg38_ENSG00000241670.3	hg38_RPL23AP21
hg38_ENSG00000236679.2	hg38_RPL23AP24
hg38_ENSG00000236743.1	hg38_RP5-857K21.15
hg38_ENSG00000236601.2	hg38_RP4-669L17.2
hg38_ENSG00000237094.11	hg38_RP4-669L17.10
hg38_ENSG00000269732.1	hg38_WBP1LP7
hg38_ENSG00000278566.1	hg38_OR4F29
hg38_ENSG00000224813.3	hg38_SEPT14P13
hg38_ENSG00000233653.3	hg38_CICP7
hg38_ENSG00000250575.1	hg38_RP4-669L17.8
hg38_ENSG00000278757.1	hg38_U6
hg38_ENSG00000230021.8	hg38_RP5-857K21.4
hg38_ENSG00000235146.2	hg38_RP5-857K21.2
hg38_ENSG00000225972.1	hg38_MTND1P23
hg38_ENSG00000225630.1	hg38_MTND2P28
hg38_ENSG00000237973.1	hg38_MTCO1P12
hg38_ENSG00000278791.1	hg38_MIR6723
hg38_ENSG00000229344.1	hg38_MTCO2P12
hg38_ENSG00000240409.1	hg38_MTATP8P1
hg38_ENSG00000248527.1	hg38_MTATP6P1
hg38_ENSG00000198744.5	hg38_MTCO3P12
hg38_ENSG00000268663.1	hg38_WBP1LP6
hg38_ENSG00000273547.1	hg38_OR4F16
hg38_ENSG00000283574.1	hg38_RP11-206L10.17
hg38_ENSG00000229376.3	hg38_CICP3
hg38_ENSG00000228327.3	hg38_RP11-206L10.2
hg38_ENSG00000223181.1	hg38_RNU6-1199P
hg38_ENSG00000229905.1	hg38_RP11-206L10.4
hg38_ENSG00000237491.8	hg38_RP11-206L10.9
hg38_ENSG00000230092.7	hg38_RP11-206L10.8
hg38_ENSG00000177757.2	hg38_FAM87B
hg38_ENSG00000228794.8	hg38_LINC01128
hg38_ENSG00000225880.5	hg38_LINC00115
hg38_ENSG00000230368.2	hg38_FAM41C
hg38_ENSG00000234711.1	hg38_TUBB8P11
hg38_ENSG00000283040.1	hg38_FAM166AP3
hg38_ENSG00000272438.1	hg38_RP11-54O7.16
hg38_ENSG00000230699.2	hg38_RP11-54O7.1
hg38_ENSG00000241180.1	hg38_RP11-54O7.2
hg38_ENSG00000223764.2	hg38_RP11-54O7.3
hg38_ENSG00000187634.11	hg38_SAMD11
hg38_ENSG00000188976.10	hg38_NOC2L
hg38_ENSG00000187961.13	hg38_KLHL17
hg38_ENSG00000187583.10	hg38_PLEKHN1
hg38_ENSG00000187642.9	hg38_PERM1
hg38_ENSG00000272512.1	hg38_RP11-54O7.17
hg38_ENSG00000188290.10	hg38_HES4
hg38_ENSG00000187608.8	hg38_ISG15
hg38_ENSG00000231702.2	hg38_RP11-54O7.10
hg38_ENSG00000224969.1	hg38_RP11-54O7.11
hg38_ENSG00000188157.14	hg38_AGRN
hg38_ENSG00000242590.1	hg38_RP11-54O7.14
hg38_ENSG00000217801.9	hg38_RP11-465B22.3
hg38_ENSG00000273443.1	hg38_RP11-54O7.18
hg38_ENSG00000237330.2	hg38_RNF223
hg38_ENSG00000131591.17	hg38_C1orf159
hg38_ENSG00000223823.1	hg38_LINC01342
